"id","name","code_prefix_start"
"account_group_1101","CAJA Y BANCOS","1101"
"account_group_1102","CAJA CHICA","1102"
"account_group_1103","CUENTAS POR COBRAR","1103"
"account_group_1104","IMPUESTOS","1104"
"account_group_1105","INVENTARIOS","1105"
"account_group_1201","PROPIEDAD PLANTA Y EQUIPO","1201"
"account_group_1202","ACTIVOS INTANGIBLES","1202"
"account_group_1301","DIFERIDO","1301"
"account_group_2101","CUENTAS POR PAGAR","2101"
"account_group_2102","PRESTAMOS BANCARIOS","2102"
"account_group_2103","IMPUESTOS POR PAGAR","2103"
"account_group_2104","ANTICIPOS RECIBIDOS","2104"
"account_group_2201","PRESTACIONES LABORALES","2201"
"account_group_2202","PRESTAMOS BANCARIOS","2202"
"account_group_3101","CAPITAL AUTORIZADO","3101"
"account_group_3102","UTILIDADES","3102"
"account_group_3103","PERDIDAS","3103"
"account_group_4102","VENTAS DE MERCADERÍA","4102"
"account_group_4103","VENTAS DE SERVICIOS","4103"
"account_group_5101","GASTOS DIRECTOS POR VENTAS","5101"
"account_group_6101","SUELDOS Y SALARIOS","6101"
"account_group_6102","HONORARIOS PROFESIONALES","6102"
"account_group_6103","GASTOS DEL PERSONAL","6103"
"account_group_6104","SERVICIOS Y GASTOS GENERALES","6104"
"account_group_6105","ARRENDAMIENTOS SUMINISTROS Y OTROS GASTOS","6105"
"account_group2_6105","SUMINISTROS Y OTROS GASTOS",""
"account_group_6106","PROMOCIÓN Y MERCADEO","6106"
"account_group_6107","DEPRECIACIONES Y AMORTIZACIONES","6107"
"account_group_6108","IMPUESTOS, TASAS Y CONTRIBUCIONES","6108"
"account_group_7101","GASTOS NO DEDUCIBLES","7101"
"account_group_7102","GASTOS DE AFILIACIÓN VISANET","7102"
"account_group_7201","OTROS INGRESOS","7201"
"account_group_7202","RENTAS DE CAPITAL","7202"
"account_group_7203","GANANCIAS DE CAPITAL","7203"